"checking_account","duration_months","credit_history","purpose","credit_amount","savings","present_employment_since","installment_rate","personal_status_sex","other_deptors","present_residence","property","age_years","other_installment_plans","housing","existing_credits","job","people_liable_maintenance","telephone","foreign_worker","response"
"No checking account",48,"critical account/other credits existing (not at this bank)","radio/television",3578,"unknown/ no savings account",".. >= 7 years",4,"male   : single","none",1,"real estate",47,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",42,"existing credits paid back duly till now","radio/television",7174,"unknown/ no savings account","4  <= ... < 7 years",4,"female : divorced/separated/married","none",3,"(if not optin 1 or 2) car or other, not in attribute",30,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","1"
"... <  0 euro",10,"critical account/other credits existing (not at this bank)","furniture/equipment",2132,"unknown/ no savings account","... < 1 year",2,"female : divorced/separated/married","co-applicant",3,"real estate",27,"none","rent",2,"skilled employee / official",1,"none","no","0"
"... <  0 euro",33,"critical account/other credits existing (not at this bank)","furniture/equipment",4281,"255 euro <= ... < 511 euro","1  <= ... < 4 years",1,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",23,"none","own",2,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",12,"critical account/other credits existing (not at this bank)","car (new)",2366,"255 euro <= ... < 511 euro","4  <= ... < 7 years",3,"male   : divorced/separated","none",3,"(if not optin 1 or 2) car or other, not in attribute",36,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",21,"existing credits paid back duly till now","radio/television",1835,"... <  51 euro","1  <= ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",25,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"No checking account",24,"critical account/other credits existing (not at this bank)","car (used)",3868,"... <  51 euro",".. >= 7 years",4,"female : divorced/separated/married","none",2,"(if not optin 1 or 2) car or other, not in attribute",41,"none","rent",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"No checking account",12,"existing credits paid back duly till now","furniture/equipment",1768,"... <  51 euro","1  <= ... < 4 years",3,"male   : single","none",2,"real estate",24,"none","rent",1,"unskilled - resident",1,"none","yes","0"
">= 102 euro",10,"critical account/other credits existing (not at this bank)","car (new)",781,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"unknown / no property",63,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",18,"existing credits paid back duly till now","furniture/equipment",1924,"unknown/ no savings account","... < 1 year",4,"female : divorced/separated/married","none",3,"real estate",27,"none","rent",1,"skilled employee / official",1,"none","yes","1"
"... <  0 euro",12,"critical account/other credits existing (not at this bank)","car (new)",2121,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",2,"(if not real estate) building society savings agreement/ life insurance",30,"none","own",2,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",12,"existing credits paid back duly till now","radio/television",701,"... <  51 euro","1  <= ... < 4 years",4,"male   : married/widowed","none",2,"real estate",40,"none","own",1,"unskilled - resident",1,"none","yes","0"
"0 <= ... <  102 euro",12,"existing credits paid back duly till now","repairs",639,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",30,"none","own",1,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",12,"critical account/other credits existing (not at this bank)","car (used)",1860,"... <  51 euro","unemployed",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",34,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",12,"critical account/other credits existing (not at this bank)","car (new)",3499,"... <  51 euro","1  <= ... < 4 years",3,"female : divorced/separated/married","co-applicant",2,"real estate",29,"none","own",2,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",48,"existing credits paid back duly till now","car (new)",8487,"unknown/ no savings account","4  <= ... < 7 years",1,"female : divorced/separated/married","none",2,"(if not optin 1 or 2) car or other, not in attribute",24,"none","own",1,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",36,"delay in paying off in the past","education",6887,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",3,"(if not real estate) building society savings agreement/ life insurance",29,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"No checking account",15,"existing credits paid back duly till now","furniture/equipment",2708,"... <  51 euro","... < 1 year",2,"male   : single","none",3,"(if not real estate) building society savings agreement/ life insurance",27,"bank","own",2,"unskilled - resident",1,"none","yes","0"
"No checking account",18,"existing credits paid back duly till now","furniture/equipment",1984,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",4,"unknown / no property",47,"bank","for free",2,"skilled employee / official",1,"none","yes","0"
"No checking account",60,"existing credits paid back duly till now","radio/television",10144,"51 <= ... <  255 euro","4  <= ... < 7 years",2,"female : divorced/separated/married","none",4,"real estate",21,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",12,"critical account/other credits existing (not at this bank)","radio/television",1240,"unknown/ no savings account",".. >= 7 years",4,"female : divorced/separated/married","none",2,"real estate",38,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",27,"delay in paying off in the past","car (used)",8613,".. >= 511 euro","1  <= ... < 4 years",2,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",27,"none","own",2,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",12,"existing credits paid back duly till now","radio/television",766,"255 euro <= ... < 511 euro","1  <= ... < 4 years",4,"male   : single","none",3,"real estate",66,"none","own",1,"unskilled - resident",1,"none","yes","1"
"0 <= ... <  102 euro",15,"critical account/other credits existing (not at this bank)","radio/television",2728,"unknown/ no savings account","4  <= ... < 7 years",4,"male   : single","guarantor",2,"real estate",35,"bank","own",3,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
">= 102 euro",12,"existing credits paid back duly till now","radio/television",1881,"... <  51 euro","1  <= ... < 4 years",2,"female : divorced/separated/married","none",2,"(if not optin 1 or 2) car or other, not in attribute",44,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name","yes","0"
">= 102 euro",6,"existing credits paid back duly till now","car (new)",709,".. >= 511 euro","... < 1 year",2,"male   : married/widowed","none",2,"real estate",27,"none","own",1,"unemployed/ unskilled  - non-resident",1,"none","no","0"
"0 <= ... <  102 euro",36,"existing credits paid back duly till now","radio/television",4795,"... <  51 euro","... < 1 year",4,"female : divorced/separated/married","none",1,"unknown / no property",30,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",27,"existing credits paid back duly till now","radio/television",3416,"... <  51 euro","1  <= ... < 4 years",3,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",27,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","0"
"... <  0 euro",18,"existing credits paid back duly till now","furniture/equipment",2462,"... <  51 euro","1  <= ... < 4 years",2,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",22,"none","own",1,"skilled employee / official",1,"none","yes","1"
"No checking account",21,"critical account/other credits existing (not at this bank)","furniture/equipment",2288,"... <  51 euro","... < 1 year",4,"female : divorced/separated/married","none",4,"(if not real estate) building society savings agreement/ life insurance",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",48,"all credits at this bank paid back duly","business",3566,"51 <= ... <  255 euro","4  <= ... < 7 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",30,"none","own",1,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",6,"critical account/other credits existing (not at this bank)","car (new)",860,"... <  51 euro",".. >= 7 years",1,"female : divorced/separated/married","none",4,"unknown / no property",39,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",12,"critical account/other credits existing (not at this bank)","car (new)",682,"51 <= ... <  255 euro","4  <= ... < 7 years",4,"female : divorced/separated/married","none",3,"(if not optin 1 or 2) car or other, not in attribute",51,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",36,"critical account/other credits existing (not at this bank)","furniture/equipment",5371,"... <  51 euro","1  <= ... < 4 years",3,"male   : single","guarantor",2,"(if not real estate) building society savings agreement/ life insurance",28,"none","own",2,"skilled employee / official",1,"none","yes","0"
"No checking account",18,"critical account/other credits existing (not at this bank)","radio/television",1582,".. >= 511 euro",".. >= 7 years",4,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",46,"none","own",2,"skilled employee / official",1,"none","yes","0"
